horizon,strategy,type,pairing,gkp1,club1,price1,gkp2,club2,price2,total_price,num_gws,tot_rot_xp,rot_xp_per_gw,oc_score,dcs,s_risk,rot_avg_fdr,no_diff_pct,all_easy_pct,fdr_corr,foi,expected_cs
gw1_3,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Verbruggen (BHA),Martinez,AVL,5.0,Verbruggen,BHA,4.5,9.5,3,24.06,8.02,7.727,71.33,28.33,3.0,33.3,33.3,1.0,0.4856,1.22
gw4_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Verbruggen (BHA),Martinez,AVL,5.0,Verbruggen,BHA,4.5,9.5,16,101.02,6.31,6.019,81.66,74.74,2.62,93.8,43.8,0.0063,0.4783,5.52
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Verbruggen (BHA),Martinez,AVL,5.0,Verbruggen,BHA,4.5,9.5,19,119.2,6.27,5.98,79.07,69.98,2.68,89.5,42.1,0.1724,0.4794,6.44
full_season,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Verbruggen (BHA),Martinez,AVL,5.0,Verbruggen,BHA,4.5,9.5,38,239.79,6.31,6.016,80.37,71.68,2.63,89.5,47.4,0.1087,0.4849,13.3
gw1_3,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Rushworth (COV),Martinez,AVL,5.0,Rushworth,COV,4.5,9.5,3,24.04,8.01,7.718,76.93,42.33,3.0,33.3,33.3,-0.866,0.5428,1.23
gw4_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Rushworth (COV),Martinez,AVL,5.0,Rushworth,COV,4.5,9.5,16,100.82,6.3,6.007,84.87,83.31,2.44,100.0,56.2,-0.1352,0.4936,5.61
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Rushworth (COV),Martinez,AVL,5.0,Rushworth,COV,4.5,9.5,19,120.3,6.33,6.037,86.0,84.85,2.42,100.0,57.9,-0.2898,0.5014,6.74
full_season,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Rushworth (COV),Martinez,AVL,5.0,Rushworth,COV,4.5,9.5,38,238.17,6.27,5.973,83.1,80.32,2.55,97.4,47.4,-0.2705,0.5149,13.0
gw1_3,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Petrović (BOU),Martinez,AVL,5.0,Petrović,BOU,4.5,9.5,3,22.86,7.62,7.325,72.0,30.0,3.25,33.3,33.3,0.0,0.5609,1.06
gw4_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Petrović (BOU),Martinez,AVL,5.0,Petrović,BOU,4.5,9.5,16,101.6,6.35,6.055,84.62,80.61,2.44,93.8,62.5,-0.1918,0.5006,5.67
